Territory,Gender,Age,Scholarity,Year,Rate_unemployed
Toscana,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2018,4.383963
Toscana,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2019,3.464474
Toscana,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2020,4.198449
Toscana,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2021,4.692326
Sicilia,all_gender,Y15-64,all_levels_education,2018,21.632683
Sicilia,all_gender,Y15-64,all_levels_education,2019,20.323721
Sicilia,all_gender,Y15-64,all_levels_education,2020,18.598796
Sicilia,all_gender,Y15-64,all_levels_education,2021,19.046629
Centro,all_gender,Y15-74,all_levels_education,2011,7.704995
Centro,all_gender,Y15-74,all_levels_education,2012,9.668525
Centro,all_gender,Y15-74,all_levels_education,2013,10.915209
Centro,all_gender,Y15-74,all_levels_education,2014,11.526623
Centro,all_gender,Y15-74,all_levels_education,2015,10.755856
Centro,all_gender,Y15-74,all_levels_education,2016,10.50589
Centro,all_gender,Y15-74,all_levels_education,2017,10.03287
Centro,all_gender,Y15-74,all_levels_education,2018,9.404227
Centro,all_gender,Y15-74,all_levels_education,2019,8.637531
Centro,all_gender,Y15-74,all_levels_education,2020,8.227381
Centro,all_gender,Y15-74,all_levels_education,2021,8.618182
Sicilia,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2018,12.218325
Sicilia,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2019,10.54939
Sicilia,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2020,9.278168
Sicilia,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2021,8.827729
Italy,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2018,5.901777
Italy,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2019,5.688709
Italy,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2020,5.401672
Italy,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2021,5.06617
Abruzzo,all_gender,Y15-74,all_levels_education,2018,10.810043
Abruzzo,all_gender,Y15-74,all_levels_education,2019,11.147062
Abruzzo,all_gender,Y15-74,all_levels_education,2020,9.65653
Abruzzo,all_gender,Y15-74,all_levels_education,2021,9.34415
Abruzzo,all_gender,Y15-64,all_levels_education,2018,11.014066
Abruzzo,all_gender,Y15-64,all_levels_education,2019,11.355918
Abruzzo,all_gender,Y15-64,all_levels_education,2020,9.863106
Abruzzo,all_gender,Y15-64,all_levels_education,2021,9.568934
Lombardia,all_gender,Y15-74,upper and post secondary,2018,6.021671
Lombardia,all_gender,Y15-74,upper and post secondary,2019,5.405215
Lombardia,all_gender,Y15-74,upper and post secondary,2020,5.158235
Lombardia,all_gender,Y15-74,upper and post secondary,2021,5.912274
Marche,all_gender,Y15-74,all_levels_education,2018,8.127425
Marche,all_gender,Y15-74,all_levels_education,2019,8.626353
Marche,all_gender,Y15-74,all_levels_education,2020,7.52411
Marche,all_gender,Y15-74,all_levels_education,2021,7.123891
Provincia Autonoma Trento,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2018,2.363929
Provincia Autonoma Trento,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2019,2.261768
Provincia Autonoma Trento,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2020,3.298072
Provincia Autonoma Trento,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2021,2.171779
Lazio,all_gender,Y15-74,upper and post secondary,2018,12.674145
Lazio,all_gender,Y15-74,upper and post secondary,2019,11.020477
Lazio,all_gender,Y15-74,upper and post secondary,2020,9.835082
Lazio,all_gender,Y15-74,upper and post secondary,2021,11.046945
Marche,all_gender,Y15-64,all_levels_education,2018,8.306052
Marche,all_gender,Y15-64,all_levels_education,2019,8.805933
Marche,all_gender,Y15-64,all_levels_education,2020,7.676359
Marche,all_gender,Y15-64,all_levels_education,2021,7.283222
Sardegna,all_gender,Y15-74,upper and post secondary,2018,14.134215
Sardegna,all_gender,Y15-74,upper and post secondary,2019,16.020369
Sardegna,all_gender,Y15-74,upper and post secondary,2020,13.251419
Sardegna,all_gender,Y15-74,upper and post secondary,2021,14.466644
Molise,all_gender,Y15-74,upper and post secondary,2018,13.706417
Molise,all_gender,Y15-74,upper and post secondary,2019,13.702163
Molise,all_gender,Y15-74,upper and post secondary,2020,9.376581
Molise,all_gender,Y15-74,upper and post secondary,2021,10.541565
Molise,all_gender,Y15-74,all_levels_education,2018,12.773464
Molise,all_gender,Y15-74,all_levels_education,2019,12.054123
Molise,all_gender,Y15-74,all_levels_education,2020,9.946962
Molise,all_gender,Y15-74,all_levels_education,2021,10.943558
Abruzzo,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2018,8.461481
Abruzzo,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2019,8.991942
Abruzzo,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2020,8.913912
Abruzzo,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2021,8.004295
Trentino Alto Adige / Südtirol,all_gender,Y15-74,all_levels_education,2018,3.817948
Trentino Alto Adige / Südtirol,all_gender,Y15-74,all_levels_education,2019,3.924362
Trentino Alto Adige / Südtirol,all_gender,Y15-74,all_levels_education,2020,4.557694
Trentino Alto Adige / Südtirol,all_gender,Y15-74,all_levels_education,2021,4.312656
Provincia Autonoma Bolzano / Bozen,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2018,2.409664
Provincia Autonoma Bolzano / Bozen,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2019,2.090195
Provincia Autonoma Bolzano / Bozen,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2020,1.789018
Provincia Autonoma Bolzano / Bozen,all_gender,Y15-74,"tertiary (university, doctoral and specialization courses)",2021,2.682964
Toscana,all_gender,Y15-74,all_levels_education,2018,7.32442
Toscana,all_gender,Y15-74,all_levels_education,2019,6.739099
Toscana,all_gender,Y15-74,all_levels_education,2020,6.803387
Toscana,all_gender,Y15-74,all_levels_education,2021,7.543828
Campania,all_gender,Y15-74,all_levels_education,2018,20.391955
Campania,all_gender,Y15-74,all_levels_education,2019,20.082753
Campania,all_gender,Y15-74,all_levels_education,2020,18.399187
Campania,all_gender,Y15-74,all_levels_education,2021,19.348949
Nord-ovest,all_gender,Y15-74,upper and post secondary,2018,6.817411
Nord-ovest,all_gender,Y15-74,upper and post secondary,2019,6.083402
Nord-ovest,all_gender,Y15-74,upper and post secondary,2020,5.964438
Nord-ovest,all_gender,Y15-74,upper and post secondary,2021,6.371402
Basilicata,all_gender,Y20-64,"tertiary (university, doctoral and specialization courses)",2018,10.844461
Basilicata,all_gender,Y20-64,"tertiary (university, doctoral and specialization courses)",2019,11.243811
Basilicata,all_gender,Y20-64,"tertiary (university, doctoral and specialization courses)",2020,8.221319
Basilicata,all_gender,Y20-64,"tertiary (university, doctoral and specialization courses)",2021,6.480681
Piemonte,all_gender,Y20-64,"no educational degree, primary and lower secondary school certificate",2018,11.015425
Piemonte,all_gender,Y20-64,"no educational degree, primary and lower secondary school certificate",2019,11.103744
Piemonte,all_gender,Y20-64,"no educational degree, primary and lower secondary school certificate",2020,10.453896
Piemonte,all_gender,Y20-64,"no educational degree, primary and lower secondary school certificate",2021,10.531575
Toscana,all_gender,Y15-64,"tertiary (university, doctoral and specialization courses)",2018,4.50764
Toscana,all_gender,Y15-64,"tertiary (university, doctoral and specialization courses)",2019,3.493666
Toscana,all_gender,Y15-64,"tertiary (university, doctoral and specialization courses)",2020,4.308878
Toscana,all_gender,Y15-64,"tertiary (university, doctoral and specialization courses)",2021,4.819713
Marche,all_gender,Y15-64,"tertiary (university, doctoral and specialization courses)",2018,5.897242
Marche,all_gender,Y15-64,"tertiary (university, doctoral and specialization courses)",2019,6.514233
Marche,all_gender,Y15-64,"tertiary (university, doctoral and specialization courses)",2020,6.626157
Marche,all_gender,Y15-64,"tertiary (university, doctoral and specialization courses)",2021,4.108779
Lazio,all_gender,Y20-64,"tertiary (university, doctoral and specialization courses)",2018,5.821081
Lazio,all_gender,Y20-64,"tertiary (university, doctoral and specialization courses)",2019,6.327657
Lazio,all_gender,Y20-64,"tertiary (university, doctoral and specialization courses)",2020,5.354129
Lazio,all_gender,Y20-64,"tertiary (university, doctoral and specialization courses)",2021,5.074737
Calabria,all_gender,Y15-64,upper and post secondary,2018,20.245851
Calabria,all_gender,Y15-64,upper and post secondary,2019,21.204117
Calabria,all_gender,Y15-64,upper and post secondary,2020,19.261002
Calabria,all_gender,Y15-64,upper and post secondary,2021,18.913757
Trentino Alto Adige / Südtirol,all_gender,Y20-64,upper and post secondary,2018,3.54164
Trentino Alto Adige / Südtirol,all_gender,Y20-64,upper and post secondary,2019,3.47838
Trentino Alto Adige / Südtirol,all_gender,Y20-64,upper and post secondary,2020,4.191772
Trentino Alto Adige / Südtirol,all_gender,Y20-64,upper and post secondary,2021,4.110352
Nord-ovest,all_gender,Y20-64,"no educational degree, primary and lower secondary school certificate",2018,9.319524
Nord-ovest,all_gender,Y20-64,"no educational degree, primary and lower secondary school certificate",2019,9.290597
Nord-ovest,all_gender,Y20-64,"no educational degree, primary and lower secondary school certificate",2020,8.314088
Nord-ovest,all_gender,Y20-64,"no educational degree, primary and lower secondary school certificate",2021,8.827674
Basilicata,all_gender,Y20-64,"no educational degree, primary and lower secondary school certificate",2018,12.389722
Basilicata,all_gender,Y20-64,"no educational degree, primary and lower secondary school certificate",2019,11.082162
Basilicata,all_gender,Y20-64,"no educational degree, primary and lower secondary school certificate",2020,9.720591
Basilicata,all_gender,Y20-64,"no educational degree, primary and lower secondary school certificate",2021,10.014523
Sardegna,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2018,18.956097
Sardegna,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2019,16.23038
Sardegna,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2020,17.138197
Sardegna,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2021,16.180059
Sardegna,all_gender,Y20-64,"no educational degree, primary and lower secondary school certificate",2018,19.173376
Sardegna,all_gender,Y20-64,"no educational degree, primary and lower secondary school certificate",2019,16.517628
Sardegna,all_gender,Y20-64,"no educational degree, primary and lower secondary school certificate",2020,17.414024
Sardegna,all_gender,Y20-64,"no educational degree, primary and lower secondary school certificate",2021,16.350474
Piemonte,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2018,11.339225
Piemonte,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2019,11.007002
Piemonte,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2020,10.397495
Piemonte,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2021,10.478025
Toscana,all_gender,Y15-64,"no educational degree, primary and lower secondary school certificate",2018,10.325126
Toscana,all_gender,Y15-64,"no educational degree, primary and lower secondary school certificate",2019,8.650258
Toscana,all_gender,Y15-64,"no educational degree, primary and lower secondary school certificate",2020,8.938593
Toscana,all_gender,Y15-64,"no educational degree, primary and lower secondary school certificate",2021,10.303213
Provincia Autonoma Trento,all_gender,Y20-64,all_levels_education,2018,4.587137
Provincia Autonoma Trento,all_gender,Y20-64,all_levels_education,2019,4.898365
Provincia Autonoma Trento,all_gender,Y20-64,all_levels_education,2020,5.338107
Provincia Autonoma Trento,all_gender,Y20-64,all_levels_education,2021,4.720473
Marche,all_gender,Y15-64,"no educational degree, primary and lower secondary school certificate",2018,9.867809
Marche,all_gender,Y15-64,"no educational degree, primary and lower secondary school certificate",2019,10.31808
Marche,all_gender,Y15-64,"no educational degree, primary and lower secondary school certificate",2020,8.74227
Marche,all_gender,Y15-64,"no educational degree, primary and lower secondary school certificate",2021,9.256861
Sicilia,all_gender,Y15-64,upper and post secondary,2018,19.982407
Sicilia,all_gender,Y15-64,upper and post secondary,2019,18.556196
Sicilia,all_gender,Y15-64,upper and post secondary,2020,17.625101
Sicilia,all_gender,Y15-64,upper and post secondary,2021,17.795692
Lombardia,all_gender,Y15-64,upper and post secondary,2018,6.067456
Lombardia,all_gender,Y15-64,upper and post secondary,2019,5.423063
Lombardia,all_gender,Y15-64,upper and post secondary,2020,5.193692
Lombardia,all_gender,Y15-64,upper and post secondary,2021,5.99561
Molise,all_gender,Y20-64,"tertiary (university, doctoral and specialization courses)",2018,9.050923
Molise,all_gender,Y20-64,"tertiary (university, doctoral and specialization courses)",2019,6.726934
Molise,all_gender,Y20-64,"tertiary (university, doctoral and specialization courses)",2020,8.605943
Molise,all_gender,Y20-64,"tertiary (university, doctoral and specialization courses)",2021,6.816244
Centro,all_gender,Y20-64,upper and post secondary,2018,9.799686
Centro,all_gender,Y20-64,upper and post secondary,2019,9.122807
Centro,all_gender,Y20-64,upper and post secondary,2020,8.338671
Centro,all_gender,Y20-64,upper and post secondary,2021,8.933116
Liguria,all_gender,Y20-64,all_levels_education,2018,9.754628
Liguria,all_gender,Y20-64,all_levels_education,2019,9.530021
Liguria,all_gender,Y20-64,all_levels_education,2020,8.421172
Liguria,all_gender,Y20-64,all_levels_education,2021,8.270262
Basilicata,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2018,12.696483
Basilicata,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2019,11.058334
Basilicata,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2020,9.585049
Basilicata,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2021,9.860035
Lazio,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2018,14.375305
Lazio,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2019,12.250757
Lazio,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2020,13.472699
Lazio,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2021,14.299508
Liguria,all_gender,Y15-64,upper and post secondary,2018,9.467037
Liguria,all_gender,Y15-64,upper and post secondary,2019,8.699769
Liguria,all_gender,Y15-64,upper and post secondary,2020,7.807609
Liguria,all_gender,Y15-64,upper and post secondary,2021,8.022734
Sardegna,all_gender,Y20-64,"tertiary (university, doctoral and specialization courses)",2018,10.373854
Sardegna,all_gender,Y20-64,"tertiary (university, doctoral and specialization courses)",2019,10.524294
Sardegna,all_gender,Y20-64,"tertiary (university, doctoral and specialization courses)",2020,6.386484
Sardegna,all_gender,Y20-64,"tertiary (university, doctoral and specialization courses)",2021,6.736372
Lazio,all_gender,Y20-64,"no educational degree, primary and lower secondary school certificate",2018,14.241101
Lazio,all_gender,Y20-64,"no educational degree, primary and lower secondary school certificate",2019,12.221582
Lazio,all_gender,Y20-64,"no educational degree, primary and lower secondary school certificate",2020,13.470804
Lazio,all_gender,Y20-64,"no educational degree, primary and lower secondary school certificate",2021,14.018613
Abruzzo,all_gender,Y20-64,upper and post secondary,2018,10.664004
Abruzzo,all_gender,Y20-64,upper and post secondary,2019,11.76898
Abruzzo,all_gender,Y20-64,upper and post secondary,2020,8.732525
Abruzzo,all_gender,Y20-64,upper and post secondary,2021,9.597422
Sicilia,all_gender,Y20-64,all_levels_education,2018,21.16601
Sicilia,all_gender,Y20-64,all_levels_education,2019,19.802328
Sicilia,all_gender,Y20-64,all_levels_education,2020,18.218845
Sicilia,all_gender,Y20-64,all_levels_education,2021,18.486589
Nord-ovest,all_gender,Y20-64,"tertiary (university, doctoral and specialization courses)",2018,3.87178
Nord-ovest,all_gender,Y20-64,"tertiary (university, doctoral and specialization courses)",2019,3.535045
Nord-ovest,all_gender,Y20-64,"tertiary (university, doctoral and specialization courses)",2020,3.616051
Nord-ovest,all_gender,Y20-64,"tertiary (university, doctoral and specialization courses)",2021,3.693145
Provincia Autonoma Bolzano / Bozen,all_gender,Y15-64,upper and post secondary,2018,2.723054
Provincia Autonoma Bolzano / Bozen,all_gender,Y15-64,upper and post secondary,2019,2.434576
Provincia Autonoma Bolzano / Bozen,all_gender,Y15-64,upper and post secondary,2020,3.487866
Provincia Autonoma Bolzano / Bozen,all_gender,Y15-64,upper and post secondary,2021,3.550058
Veneto,all_gender,Y20-64,upper and post secondary,2018,6.080363
Veneto,all_gender,Y20-64,upper and post secondary,2019,4.509242
Veneto,all_gender,Y20-64,upper and post secondary,2020,5.568394
Veneto,all_gender,Y20-64,upper and post secondary,2021,4.815394
Friuli-Venezia Giulia,all_gender,Y20-64,upper and post secondary,2018,6.713958
Friuli-Venezia Giulia,all_gender,Y20-64,upper and post secondary,2019,5.680484
Friuli-Venezia Giulia,all_gender,Y20-64,upper and post secondary,2020,5.430525
Friuli-Venezia Giulia,all_gender,Y20-64,upper and post secondary,2021,5.5706
Molise,all_gender,Y20-64,"no educational degree, primary and lower secondary school certificate",2018,14.088494
Molise,all_gender,Y20-64,"no educational degree, primary and lower secondary school certificate",2019,13.895308
Molise,all_gender,Y20-64,"no educational degree, primary and lower secondary school certificate",2020,12.344998
Molise,all_gender,Y20-64,"no educational degree, primary and lower secondary school certificate",2021,14.997087
Calabria,all_gender,Y20-64,all_levels_education,2018,21.456614
Calabria,all_gender,Y20-64,all_levels_education,2019,20.877823
Calabria,all_gender,Y20-64,all_levels_education,2020,20.129976
Calabria,all_gender,Y20-64,all_levels_education,2021,18.0159
Abruzzo,all_gender,Y15-64,"tertiary (university, doctoral and specialization courses)",2018,8.76951
Abruzzo,all_gender,Y15-64,"tertiary (university, doctoral and specialization courses)",2019,9.299244
Abruzzo,all_gender,Y15-64,"tertiary (university, doctoral and specialization courses)",2020,9.179654
Abruzzo,all_gender,Y15-64,"tertiary (university, doctoral and specialization courses)",2021,8.264582
Nord-est,all_gender,Y20-64,upper and post secondary,2018,5.541042
Nord-est,all_gender,Y20-64,upper and post secondary,2019,4.723845
Nord-est,all_gender,Y20-64,upper and post secondary,2020,5.51768
Nord-est,all_gender,Y20-64,upper and post secondary,2021,4.968999
Puglia,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2018,19.500858
Puglia,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2019,17.861943
Puglia,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2020,18.412424
Puglia,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2021,17.97817
Centro,all_gender,Y15-64,"no educational degree, primary and lower secondary school certificate",2018,12.392556
Centro,all_gender,Y15-64,"no educational degree, primary and lower secondary school certificate",2019,10.879548
Centro,all_gender,Y15-64,"no educational degree, primary and lower secondary school certificate",2020,11.248714
Centro,all_gender,Y15-64,"no educational degree, primary and lower secondary school certificate",2021,11.830856
Provincia Autonoma Bolzano / Bozen,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2018,3.484437
Provincia Autonoma Bolzano / Bozen,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2019,3.976928
Provincia Autonoma Bolzano / Bozen,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2020,5.125778
Provincia Autonoma Bolzano / Bozen,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2021,5.039317
Emilia-Romagna,all_gender,Y20-64,upper and post secondary,2018,5.140122
Emilia-Romagna,all_gender,Y20-64,upper and post secondary,2019,5.022356
Emilia-Romagna,all_gender,Y20-64,upper and post secondary,2020,5.829973
Emilia-Romagna,all_gender,Y20-64,upper and post secondary,2021,5.192749
Nord-est,all_gender,Y15-64,"tertiary (university, doctoral and specialization courses)",2018,3.651884
Nord-est,all_gender,Y15-64,"tertiary (university, doctoral and specialization courses)",2019,3.775096
Nord-est,all_gender,Y15-64,"tertiary (university, doctoral and specialization courses)",2020,3.884601
Nord-est,all_gender,Y15-64,"tertiary (university, doctoral and specialization courses)",2021,3.234916
Campania,all_gender,Y15-64,upper and post secondary,2018,19.219748
Campania,all_gender,Y15-64,upper and post secondary,2019,18.202875
Campania,all_gender,Y15-64,upper and post secondary,2020,16.82383
Campania,all_gender,Y15-64,upper and post secondary,2021,18.222867
Valle d'Aosta / Vallée d'Aoste,all_gender,Y15-64,upper and post secondary,2018,6.212779
Valle d'Aosta / Vallée d'Aoste,all_gender,Y15-64,upper and post secondary,2019,6.073479
Valle d'Aosta / Vallée d'Aoste,all_gender,Y15-64,upper and post secondary,2020,5.026959
Valle d'Aosta / Vallée d'Aoste,all_gender,Y15-64,upper and post secondary,2021,6.53145
Puglia,all_gender,Y15-64,upper and post secondary,2018,15.838205
Puglia,all_gender,Y15-64,upper and post secondary,2019,15.351935
Puglia,all_gender,Y15-64,upper and post secondary,2020,13.449785
Puglia,all_gender,Y15-64,upper and post secondary,2021,14.746118
Friuli-Venezia Giulia,all_gender,Y15-64,"tertiary (university, doctoral and specialization courses)",2018,4.303306
Friuli-Venezia Giulia,all_gender,Y15-64,"tertiary (university, doctoral and specialization courses)",2019,4.37491
Friuli-Venezia Giulia,all_gender,Y15-64,"tertiary (university, doctoral and specialization courses)",2020,3.801794
Friuli-Venezia Giulia,all_gender,Y15-64,"tertiary (university, doctoral and specialization courses)",2021,4.148136
Campania,all_gender,Y20-64,all_levels_education,2018,20.131391
Campania,all_gender,Y20-64,all_levels_education,2019,19.892032
Campania,all_gender,Y20-64,all_levels_education,2020,18.25645
Campania,all_gender,Y20-64,all_levels_education,2021,19.041826
Veneto,all_gender,Y15-64,"tertiary (university, doctoral and specialization courses)",2018,4.187242
Veneto,all_gender,Y15-64,"tertiary (university, doctoral and specialization courses)",2019,3.784561
Veneto,all_gender,Y15-64,"tertiary (university, doctoral and specialization courses)",2020,4.547057
Veneto,all_gender,Y15-64,"tertiary (university, doctoral and specialization courses)",2021,3.139168
Umbria,all_gender,Y20-64,upper and post secondary,2018,9.069672
Umbria,all_gender,Y20-64,upper and post secondary,2019,7.346578
Umbria,all_gender,Y20-64,upper and post secondary,2020,7.413961
Umbria,all_gender,Y20-64,upper and post secondary,2021,6.729075
Puglia,all_gender,Y20-64,all_levels_education,2018,15.814978
Puglia,all_gender,Y20-64,all_levels_education,2019,14.63736
Puglia,all_gender,Y20-64,all_levels_education,2020,13.99621
Puglia,all_gender,Y20-64,all_levels_education,2021,14.38698
Abruzzo,all_gender,Y15-64,"no educational degree, primary and lower secondary school certificate",2018,12.96673
Abruzzo,all_gender,Y15-64,"no educational degree, primary and lower secondary school certificate",2019,11.835246
Abruzzo,all_gender,Y15-64,"no educational degree, primary and lower secondary school certificate",2020,11.840707
Abruzzo,all_gender,Y15-64,"no educational degree, primary and lower secondary school certificate",2021,9.892978
Provincia Autonoma Bolzano / Bozen,all_gender,Y20-64,all_levels_education,2018,2.711213
Provincia Autonoma Bolzano / Bozen,all_gender,Y20-64,all_levels_education,2019,2.741736
Provincia Autonoma Bolzano / Bozen,all_gender,Y20-64,all_levels_education,2020,3.536221
Provincia Autonoma Bolzano / Bozen,all_gender,Y20-64,all_levels_education,2021,3.75727
Trentino Alto Adige / Südtirol,all_gender,Y15-64,"tertiary (university, doctoral and specialization courses)",2018,2.406697
Trentino Alto Adige / Südtirol,all_gender,Y15-64,"tertiary (university, doctoral and specialization courses)",2019,2.245916
Trentino Alto Adige / Südtirol,all_gender,Y15-64,"tertiary (university, doctoral and specialization courses)",2020,2.659036
Trentino Alto Adige / Südtirol,all_gender,Y15-64,"tertiary (university, doctoral and specialization courses)",2021,2.447337
Italy,all_gender,Y15-64,upper and post secondary,2018,10.186777
Italy,all_gender,Y15-64,upper and post secondary,2019,9.504865
Italy,all_gender,Y15-64,upper and post secondary,2020,8.942135
Italy,all_gender,Y15-64,upper and post secondary,2021,9.32063
Lombardia,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2018,7.985207
Lombardia,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2019,7.960996
Lombardia,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2020,6.852755
Lombardia,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2021,7.722614
Italy,all_gender,Y20-64,all_levels_education,2011,8.255882
Italy,all_gender,Y20-64,all_levels_education,2012,10.565862
Italy,all_gender,Y20-64,all_levels_education,2013,12.108173
Italy,all_gender,Y20-64,all_levels_education,2014,12.597938
Italy,all_gender,Y20-64,all_levels_education,2015,11.79415
Italy,all_gender,Y20-64,all_levels_education,2016,11.561349
Italy,all_gender,Y20-64,all_levels_education,2017,11.106266
Italy,all_gender,Y20-64,all_levels_education,2018,10.444246
Italy,all_gender,Y20-64,all_levels_education,2019,9.806329
Italy,all_gender,Y20-64,all_levels_education,2020,9.254824
Italy,all_gender,Y20-64,all_levels_education,2021,9.402401
Valle d'Aosta / Vallée d'Aoste,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2018,10.306975
Valle d'Aosta / Vallée d'Aoste,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2019,9.262453
Valle d'Aosta / Vallée d'Aoste,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2020,8.676724
Valle d'Aosta / Vallée d'Aoste,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2021,10.419404
Centro,all_gender,Y15-64,"tertiary (university, doctoral and specialization courses)",2018,5.432351
Centro,all_gender,Y15-64,"tertiary (university, doctoral and specialization courses)",2019,5.55971
Centro,all_gender,Y15-64,"tertiary (university, doctoral and specialization courses)",2020,5.268835
Centro,all_gender,Y15-64,"tertiary (university, doctoral and specialization courses)",2021,4.951288
Lombardia,all_gender,Y20-64,all_levels_education,2018,5.869904
Lombardia,all_gender,Y20-64,all_levels_education,2019,5.434445
Lombardia,all_gender,Y20-64,all_levels_education,2020,5.053361
Lombardia,all_gender,Y20-64,all_levels_education,2021,5.759567
Calabria,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2018,25.534463
Calabria,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2019,25.397381
Calabria,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2020,25.405217
Calabria,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2021,20.998304
Trentino Alto Adige / Südtirol,all_gender,Y15-64,"no educational degree, primary and lower secondary school certificate",2018,4.949785
Trentino Alto Adige / Südtirol,all_gender,Y15-64,"no educational degree, primary and lower secondary school certificate",2019,5.635178
Trentino Alto Adige / Südtirol,all_gender,Y15-64,"no educational degree, primary and lower secondary school certificate",2020,6.286173
Trentino Alto Adige / Südtirol,all_gender,Y15-64,"no educational degree, primary and lower secondary school certificate",2021,5.903436
Italy,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2018,14.542729
Italy,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2019,13.760171
Italy,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2020,13.063074
Italy,all_gender,Y15-74,"no educational degree, primary and lower secondary school certificate",2021,13.355779
Lazio,all_gender,Y15-64,"no educational degree, primary and lower secondary school certificate",2018,14.66674
Lazio,all_gender,Y15-64,"no educational degree, primary and lower secondary school certificate",2019,12.455649
Lazio,all_gender,Y15-64,"no educational degree, primary and lower secondary school certificate",2020,13.765858
Lazio,all_gender,Y15-64,"no educational degree, primary and lower secondary school certificate",2021,14.610907
Trentino Alto Adige / Südtirol,all_gender,Y15-64,upper and post secondary,2018,3.847831
Trentino Alto Adige / Südtirol,all_gender,Y15-64,upper and post secondary,2019,3.71128
Trentino Alto Adige / Südtirol,all_gender,Y15-64,upper and post secondary,2020,4.492548
Trentino Alto Adige / Südtirol,all_gender,Y15-64,upper and post secondary,2021,4.281402
Trentino Alto Adige / Südtirol,all_gender,Y20-64,all_levels_education,2018,3.634227
Trentino Alto Adige / Südtirol,all_gender,Y20-64,all_levels_education,2019,3.802541
Trentino Alto Adige / Südtirol,all_gender,Y20-64,all_levels_education,2020,4.418656
Trentino Alto Adige / Südtirol,all_gender,Y20-64,all_levels_education,2021,4.2328
